index,City,Date,Card Type,Exp Type,Gender,Amount
413,"Delhi, India",21-Apr-14,Gold,Fuel,F,218258
414,"Delhi, India",02-Nov-13,Signature,Entertainment,M,86166
415,"Greater Mumbai, India",25-Apr-15,Silver,Food,M,6786
416,"Greater Mumbai, India",22-May-14,Gold,Entertainment,F,92873
417,"Delhi, India",17-Oct-14,Silver,Grocery,M,115936
418,"Delhi, India",20-Jan-15,Platinum,Food,M,214543
419,"Bengaluru, India",07-Mar-15,Signature,Fuel,M,292222
420,"Ahmedabad, India",01-Sep-14,Platinum,Fuel,M,29328
421,"Ahmedabad, India",04-Oct-13,Silver,Entertainment,M,296021
422,"Greater Mumbai, India",11-Feb-14,Platinum,Fuel,M,84036
423,"Ahmedabad, India",12-Oct-13,Signature,Fuel,F,196562
424,"Delhi, India",27-Aug-14,Gold,Grocery,M,159088
425,"Bengaluru, India",23-Oct-13,Gold,Fuel,M,170921
426,"Bengaluru, India",24-Apr-14,Gold,Food,F,250560
427,"Greater Mumbai, India",25-Jun-14,Gold,Entertainment,M,120262
428,"Greater Mumbai, India",18-Nov-14,Silver,Grocery,M,20000
429,"Greater Mumbai, India",05-Jun-14,Signature,Grocery,F,166341
430,"Greater Mumbai, India",27-Apr-15,Gold,Fuel,F,201137
431,"Bengaluru, India",28-May-14,Silver,Entertainment,M,101337
432,"Bengaluru, India",28-Mar-14,Silver,Entertainment,F,141427
433,"Ahmedabad, India",02-Feb-14,Platinum,Fuel,F,277563
434,"Bengaluru, India",04-May-15,Signature,Food,F,38144
435,"Greater Mumbai, India",24-Feb-15,Gold,Entertainment,F,59033
436,"Bengaluru, India",06-Dec-14,Gold,Fuel,M,34697
437,"Greater Mumbai, India",03-Feb-15,Silver,Entertainment,F,114397
438,"Bengaluru, India",21-Dec-14,Gold,Fuel,M,266951
439,"Delhi, India",25-May-14,Silver,Fuel,F,208922
440,"Ahmedabad, India",13-Jun-14,Platinum,Grocery,F,273929
441,"Greater Mumbai, India",06-Mar-14,Platinum,Food,F,289946
442,"Greater Mumbai, India",13-May-15,Signature,Fuel,M,45926
443,"Ahmedabad, India",10-Apr-15,Platinum,Entertainment,F,217602
444,"Delhi, India",24-Jun-14,Signature,Food,M,270683
445,"Bengaluru, India",06-May-14,Silver,Food,F,92235
446,"Delhi, India",01-Dec-14,Signature,Bills,F,274376
447,"Bengaluru, India",15-May-15,Gold,Fuel,M,182351
448,"Greater Mumbai, India",06-Apr-15,Signature,Food,F,43181
449,"Bengaluru, India",27-Apr-15,Silver,Food,F,199911
450,"Greater Mumbai, India",07-Feb-14,Gold,Bills,M,115458
451,"Bengaluru, India",09-Oct-14,Silver,Bills,M,199109
452,"Ahmedabad, India",11-May-15,Platinum,Entertainment,F,268697
453,"Bengaluru, India",30-Mar-14,Platinum,Bills,F,159494
454,"Ahmedabad, India",29-Oct-13,Silver,Food,M,272194
455,"Delhi, India",05-May-15,Silver,Bills,F,188144
456,"Delhi, India",12-Nov-14,Signature,Bills,F,105512
457,"Greater Mumbai, India",02-Jul-14,Silver,Grocery,F,172487
458,"Ahmedabad, India",03-Apr-14,Gold,Entertainment,F,288440
459,"Greater Mumbai, India",04-Sep-14,Gold,Food,F,212419
460,"Delhi, India",23-May-15,Gold,Bills,M,81082
461,"Ahmedabad, India",12-Nov-13,Platinum,Food,M,298215
462,"Bengaluru, India",18-May-14,Silver,Food,F,42422
463,"Bengaluru, India",18-Nov-13,Signature,Food,F,35451
464,"Bengaluru, India",19-Aug-14,Silver,Fuel,F,222804
465,"Delhi, India",17-Jul-14,Signature,Entertainment,F,222064
466,"Greater Mumbai, India",05-Feb-14,Gold,Fuel,F,184287
467,"Greater Mumbai, India",18-Nov-13,Gold,Bills,M,14480
468,"Ahmedabad, India",26-May-15,Silver,Grocery,M,210509
469,"Delhi, India",29-Apr-14,Gold,Food,F,263779
470,"Ahmedabad, India",06-Jun-14,Silver,Fuel,F,57599
471,"Bengaluru, India",10-Sep-14,Gold,Food,F,52938
472,"Bengaluru, India",02-May-15,Silver,Food,M,8550
473,"Bengaluru, India",04-Aug-14,Platinum,Food,F,144684
474,"Delhi, India",05-Nov-14,Gold,Food,F,126749
475,"Ahmedabad, India",04-Jan-14,Silver,Grocery,M,33750
476,"Ahmedabad, India",20-Aug-14,Platinum,Fuel,F,156789
477,"Ahmedabad, India",22-Apr-15,Signature,Bills,F,56488
478,"Delhi, India",03-May-15,Gold,Fuel,M,72632
479,"Ahmedabad, India",27-Jun-14,Platinum,Bills,F,230864
480,"Bengaluru, India",28-Nov-14,Gold,Bills,F,244527
481,"Ahmedabad, India",29-Jul-14,Signature,Grocery,M,84127
482,"Ahmedabad, India",28-Apr-15,Platinum,Bills,M,257106
483,"Bengaluru, India",23-Dec-13,Gold,Entertainment,M,53807
484,"Bengaluru, India",18-Feb-14,Platinum,Food,F,222983
485,"Delhi, India",05-Aug-14,Gold,Bills,F,117773
486,"Greater Mumbai, India",04-Feb-14,Gold,Bills,F,82228
487,"Ahmedabad, India",06-Feb-15,Silver,Grocery,M,259217
488,"Bengaluru, India",19-Jan-15,Gold,Grocery,F,111466
489,"Delhi, India",21-Mar-14,Platinum,Fuel,M,72498
490,"Greater Mumbai, India",15-Nov-13,Signature,Grocery,M,139208
491,"Ahmedabad, India",04-Oct-14,Signature,Food,M,83065
492,"Bengaluru, India",30-Apr-14,Gold,Grocery,F,199358
493,"Delhi, India",16-May-15,Signature,Food,F,204733
494,"Ahmedabad, India",22-Apr-14,Gold,Fuel,M,247108
495,"Greater Mumbai, India",23-May-15,Platinum,Food,F,149391
496,"Ahmedabad, India",11-Feb-14,Signature,Bills,F,44641
497,"Bengaluru, India",15-Jul-14,Platinum,Food,F,74189
498,"Delhi, India",16-Sep-14,Gold,Grocery,F,160321
499,"Bengaluru, India",28-Oct-13,Gold,Grocery,M,85470
500,"Delhi, India",22-Aug-14,Platinum,Bills,M,150388
501,"Bengaluru, India",08-Jul-14,Platinum,Food,F,85455
502,"Delhi, India",02-Jun-14,Signature,Fuel,M,44489
503,"Delhi, India",02-Nov-14,Signature,Bills,M,143046
504,"Ahmedabad, India",27-Dec-14,Silver,Bills,F,237244
505,"Ahmedabad, India",06-Mar-15,Gold,Entertainment,F,17453
506,"Delhi, India",07-Feb-14,Silver,Entertainment,F,11541
507,"Delhi, India",22-Sep-14,Gold,Grocery,M,118773
508,"Delhi, India",29-Dec-14,Silver,Grocery,M,40804
509,"Ahmedabad, India",14-Nov-14,Platinum,Bills,F,110138
510,"Bengaluru, India",09-May-15,Gold,Food,M,85018
511,"Bengaluru, India",22-Nov-13,Signature,Entertainment,M,109896
512,"Greater Mumbai, India",08-Jan-14,Gold,Entertainment,F,221768
513,"Ahmedabad, India",01-Jun-14,Silver,Bills,M,226969
514,"Delhi, India",05-Dec-13,Silver,Entertainment,F,278718
515,"Greater Mumbai, India",19-Oct-13,Silver,Fuel,F,270760
516,"Bengaluru, India",16-Aug-14,Gold,Grocery,M,15340
517,"Delhi, India",07-Jan-14,Platinum,Grocery,F,226208
518,"Delhi, India",07-Jan-14,Silver,Entertainment,M,166765
519,"Bengaluru, India",20-Jan-14,Gold,Fuel,F,100160
520,"Delhi, India",23-Feb-15,Silver,Food,F,96891
521,"Ahmedabad, India",23-Aug-14,Platinum,Entertainment,F,290201
522,"Greater Mumbai, India",30-Nov-14,Silver,Fuel,F,208597
523,"Delhi, India",21-Jun-14,Platinum,Grocery,F,265567
524,"Greater Mumbai, India",18-Aug-14,Silver,Entertainment,F,203407
525,"Delhi, India",21-Oct-13,Signature,Food,F,143972
526,"Bengaluru, India",29-Jul-14,Silver,Entertainment,M,5373
527,"Delhi, India",24-Jan-15,Gold,Entertainment,F,59825
528,"Delhi, India",13-Aug-14,Silver,Bills,F,136014
529,"Ahmedabad, India",31-May-14,Silver,Fuel,F,177272
530,"Greater Mumbai, India",25-May-14,Platinum,Entertainment,M,159020
531,"Ahmedabad, India",01-Dec-14,Gold,Food,M,220797
532,"Bengaluru, India",19-Apr-14,Signature,Grocery,F,232986
533,"Delhi, India",13-Feb-15,Silver,Fuel,M,99901
534,"Ahmedabad, India",28-Jul-14,Silver,Grocery,F,187319
535,"Greater Mumbai, India",09-Dec-13,Silver,Bills,F,34856
536,"Ahmedabad, India",25-May-14,Gold,Entertainment,F,53784
537,"Greater Mumbai, India",27-Feb-14,Silver,Grocery,M,87432
538,"Greater Mumbai, India",10-Oct-13,Silver,Fuel,F,244726
539,"Delhi, India",25-Feb-15,Gold,Grocery,M,180879
540,"Ahmedabad, India",25-May-15,Gold,Food,M,143599
541,"Ahmedabad, India",01-May-14,Silver,Fuel,F,140813
542,"Greater Mumbai, India",17-May-15,Silver,Food,F,105753
543,"Ahmedabad, India",22-Dec-13,Silver,Fuel,M,57121
544,"Bengaluru, India",25-Apr-14,Silver,Entertainment,M,135281
545,"Ahmedabad, India",24-Apr-14,Platinum,Entertainment,M,239899
546,"Bengaluru, India",29-Jan-15,Platinum,Fuel,F,239058
547,"Ahmedabad, India",30-Dec-13,Gold,Bills,M,178834
548,"Greater Mumbai, India",15-Mar-15,Gold,Bills,M,223002
549,"Bengaluru, India",12-May-15,Signature,Grocery,F,190420
550,"Delhi, India",08-Oct-14,Gold,Entertainment,F,170075
551,"Bengaluru, India",21-Apr-14,Signature,Fuel,M,116024
552,"Delhi, India",14-Mar-14,Gold,Food,F,206341
553,"Greater Mumbai, India",12-Mar-14,Gold,Fuel,F,244904
554,"Bengaluru, India",05-Jun-14,Platinum,Grocery,M,75550
555,"Delhi, India",26-Feb-15,Silver,Grocery,F,291926
556,"Ahmedabad, India",27-May-14,Gold,Food,F,251297
557,"Greater Mumbai, India",09-Mar-15,Silver,Entertainment,M,150453
558,"Bengaluru, India",21-Aug-14,Platinum,Entertainment,F,121630
559,"Delhi, India",11-Oct-13,Gold,Food,F,49153
560,"Ahmedabad, India",17-Feb-15,Silver,Grocery,F,25547
561,"Delhi, India",25-Oct-13,Silver,Grocery,M,247715
562,"Delhi, India",12-Mar-15,Gold,Food,M,283925
563,"Delhi, India",12-May-14,Signature,Food,F,281324
564,"Ahmedabad, India",07-Oct-14,Gold,Food,F,172369
565,"Bengaluru, India",27-Nov-13,Platinum,Entertainment,M,6969
566,"Greater Mumbai, India",09-Aug-14,Signature,Grocery,M,107396
567,"Bengaluru, India",07-Oct-14,Signature,Bills,M,298247
568,"Ahmedabad, India",28-Dec-14,Platinum,Grocery,F,232599
569,"Bengaluru, India",14-Mar-15,Silver,Food,M,266944
570,"Ahmedabad, India",10-Nov-13,Platinum,Fuel,F,55968
571,"Ahmedabad, India",27-May-14,Gold,Food,F,3832
572,"Bengaluru, India",14-Dec-13,Silver,Grocery,M,231483
573,"Bengaluru, India",23-Mar-14,Gold,Food,F,102706
574,"Greater Mumbai, India",18-Jun-14,Gold,Grocery,F,272277
575,"Bengaluru, India",10-Nov-13,Platinum,Food,M,3769
576,"Greater Mumbai, India",15-Apr-14,Platinum,Bills,M,67673
577,"Ahmedabad, India",24-May-14,Platinum,Bills,M,148125
578,"Bengaluru, India",27-Nov-14,Signature,Grocery,F,229442
579,"Greater Mumbai, India",15-May-15,Signature,Fuel,M,106585
580,"Delhi, India",18-Feb-14,Silver,Fuel,M,208933
581,"Bengaluru, India",07-May-14,Signature,Bills,M,94789
582,"Ahmedabad, India",18-Feb-15,Signature,Fuel,F,105041
583,"Bengaluru, India",28-Jan-14,Platinum,Grocery,M,115229
584,"Greater Mumbai, India",28-Mar-14,Gold,Bills,F,111084
585,"Delhi, India",01-Mar-15,Signature,Fuel,M,251018
586,"Bengaluru, India",16-Jan-15,Gold,Bills,F,233507
587,"Delhi, India",07-Feb-14,Signature,Grocery,M,175241
588,"Bengaluru, India",13-Oct-13,Silver,Bills,F,80459
589,"Delhi, India",22-Apr-14,Signature,Entertainment,F,205139
590,"Ahmedabad, India",08-Apr-14,Silver,Food,F,163989
591,"Greater Mumbai, India",18-Apr-14,Signature,Bills,F,69214
592,"Greater Mumbai, India",20-Nov-14,Silver,Food,F,5569
593,"Ahmedabad, India",23-Jun-14,Signature,Bills,F,157162
594,"Delhi, India",08-Apr-14,Platinum,Entertainment,F,169250
595,"Greater Mumbai, India",05-Jan-15,Silver,Grocery,F,287463
596,"Greater Mumbai, India",10-Jan-14,Gold,Entertainment,F,220933
597,"Bengaluru, India",26-May-15,Platinum,Grocery,M,16981
598,"Delhi, India",16-Feb-15,Silver,Food,M,65058
599,"Bengaluru, India",26-Sep-14,Silver,Bills,F,180351
600,"Delhi, India",31-Mar-14,Platinum,Fuel,M,73029
601,"Delhi, India",11-Feb-15,Platinum,Grocery,F,176845
602,"Greater Mumbai, India",03-May-15,Platinum,Bills,M,189254
603,"Greater Mumbai, India",20-Jan-14,Silver,Grocery,F,24818
604,"Delhi, India",19-Jan-15,Gold,Food,M,103265
605,"Greater Mumbai, India",30-Apr-14,Gold,Grocery,M,92870
606,"Delhi, India",20-Nov-13,Gold,Bills,M,96736
607,"Delhi, India",18-May-15,Signature,Fuel,M,1678
608,"Delhi, India",25-Mar-15,Signature,Food,F,82236
609,"Greater Mumbai, India",20-Oct-13,Silver,Fuel,F,267884
610,"Greater Mumbai, India",27-Mar-14,Silver,Entertainment,M,181120
611,"Bengaluru, India",10-Oct-14,Signature,Entertainment,M,52713
612,"Delhi, India",08-May-14,Gold,Bills,F,108664
613,"Delhi, India",06-Jan-15,Gold,Bills,F,212667
614,"Greater Mumbai, India",25-May-14,Silver,Fuel,F,120871
615,"Greater Mumbai, India",02-Jan-14,Signature,Fuel,F,204052
616,"Greater Mumbai, India",22-Jan-15,Gold,Grocery,F,121304
617,"Greater Mumbai, India",30-Oct-13,Platinum,Bills,M,292254
618,"Ahmedabad, India",19-Mar-14,Platinum,Entertainment,M,153381
619,"Bengaluru, India",13-Nov-13,Platinum,Entertainment,M,135802
620,"Bengaluru, India",26-Jan-14,Silver,Fuel,M,166095
621,"Bengaluru, India",18-Apr-15,Silver,Entertainment,F,229171
622,"Bengaluru, India",01-Apr-14,Platinum,Bills,F,174903
623,"Delhi, India",17-Feb-15,Platinum,Grocery,M,271025
624,"Bengaluru, India",25-May-14,Silver,Fuel,M,97640
625,"Bengaluru, India",04-Jul-14,Platinum,Fuel,F,15705
626,"Bengaluru, India",05-Feb-15,Gold,Fuel,M,11843
627,"Greater Mumbai, India",13-May-15,Silver,Fuel,F,185757
628,"Ahmedabad, India",27-Mar-15,Silver,Grocery,M,114368
629,"Delhi, India",18-Feb-15,Signature,Food,M,122640
630,"Bengaluru, India",17-Jun-14,Silver,Food,M,66140
631,"Ahmedabad, India",13-Nov-14,Gold,Entertainment,F,229405
632,"Ahmedabad, India",29-Nov-14,Platinum,Bills,F,138144
633,"Delhi, India",06-May-15,Silver,Bills,M,19898
634,"Bengaluru, India",06-Nov-14,Signature,Food,M,173112
635,"Ahmedabad, India",17-Oct-14,Signature,Grocery,M,230915
636,"Greater Mumbai, India",07-May-15,Silver,Fuel,F,249834
637,"Bengaluru, India",10-Oct-14,Gold,Fuel,F,59467
638,"Greater Mumbai, India",11-Feb-15,Silver,Food,F,95693
639,"Delhi, India",03-Jun-14,Signature,Fuel,M,286502
640,"Greater Mumbai, India",12-Feb-14,Gold,Bills,F,270441
641,"Bengaluru, India",07-Apr-15,Platinum,Food,M,142744
642,"Greater Mumbai, India",20-Oct-13,Silver,Entertainment,F,214937
643,"Ahmedabad, India",18-Feb-15,Silver,Fuel,M,290774
644,"Ahmedabad, India",18-Feb-15,Gold,Fuel,M,148893
645,"Bengaluru, India",17-Oct-13,Platinum,Entertainment,F,249888
646,"Delhi, India",15-Nov-13,Gold,Food,M,120278
647,"Bengaluru, India",15-Jun-14,Gold,Grocery,M,103135
648,"Ahmedabad, India",23-Dec-13,Platinum,Entertainment,F,61507
649,"Bengaluru, India",26-Nov-13,Signature,Entertainment,M,173357
650,"Delhi, India",18-Aug-14,Silver,Bills,M,195173
651,"Ahmedabad, India",07-Oct-13,Platinum,Food,F,130267
652,"Greater Mumbai, India",03-Jul-14,Gold,Bills,M,186454
653,"Ahmedabad, India",13-May-14,Gold,Entertainment,M,145010
654,"Delhi, India",19-Dec-13,Silver,Entertainment,F,113145
655,"Greater Mumbai, India",26-Apr-14,Signature,Food,M,44748
656,"Bengaluru, India",10-Jun-14,Signature,Grocery,F,129152
657,"Delhi, India",08-Mar-15,Signature,Entertainment,M,43220
658,"Ahmedabad, India",23-Aug-14,Silver,Entertainment,F,208138
659,"Delhi, India",06-May-15,Silver,Food,M,183405
660,"Ahmedabad, India",24-May-15,Silver,Entertainment,M,163978
661,"Ahmedabad, India",23-Oct-14,Platinum,Entertainment,F,72602
662,"Bengaluru, India",11-Feb-15,Signature,Fuel,F,206125
663,"Bengaluru, India",08-Sep-14,Signature,Food,M,173224
664,"Greater Mumbai, India",24-Oct-13,Gold,Fuel,F,224271
665,"Delhi, India",10-Oct-13,Signature,Fuel,F,19918
666,"Ahmedabad, India",12-Mar-15,Silver,Fuel,M,240390
667,"Ahmedabad, India",10-Apr-15,Gold,Entertainment,F,232716
668,"Bengaluru, India",23-Feb-14,Silver,Grocery,M,34091
669,"Greater Mumbai, India",16-Mar-14,Signature,Bills,F,249077
670,"Greater Mumbai, India",11-Apr-15,Platinum,Bills,M,178290
671,"Ahmedabad, India",10-Aug-14,Signature,Entertainment,F,100620
672,"Ahmedabad, India",23-Feb-14,Platinum,Grocery,M,193873
673,"Bengaluru, India",18-Jan-15,Platinum,Grocery,F,221231
674,"Delhi, India",29-Oct-13,Platinum,Grocery,F,63112
675,"Delhi, India",05-Apr-15,Platinum,Bills,M,92786
676,"Ahmedabad, India",09-Dec-14,Silver,Grocery,F,242712
677,"Delhi, India",08-Mar-14,Silver,Bills,M,33966
678,"Delhi, India",10-Mar-14,Gold,Fuel,M,292609
679,"Ahmedabad, India",16-Jul-14,Platinum,Food,M,219971
680,"Delhi, India",25-Feb-15,Signature,Food,M,27357
681,"Ahmedabad, India",11-Jun-14,Signature,Entertainment,M,146609
682,"Ahmedabad, India",11-May-14,Signature,Fuel,F,102672
683,"Greater Mumbai, India",07-Feb-14,Gold,Entertainment,F,73649
684,"Delhi, India",28-Sep-14,Signature,Food,M,206705
685,"Delhi, India",03-Apr-14,Gold,Bills,M,161024
686,"Greater Mumbai, India",14-Feb-15,Signature,Bills,M,219095
687,"Greater Mumbai, India",11-Feb-14,Platinum,Bills,F,91393
688,"Greater Mumbai, India",19-Sep-14,Gold,Food,M,193390
689,"Bengaluru, India",29-Mar-14,Signature,Entertainment,F,241544
690,"Ahmedabad, India",27-Oct-13,Signature,Bills,F,130641
691,"Delhi, India",29-Apr-15,Gold,Food,M,211878
692,"Ahmedabad, India",02-Feb-14,Silver,Food,M,20870
693,"Ahmedabad, India",08-Apr-15,Platinum,Grocery,M,292636
694,"Delhi, India",22-Dec-13,Gold,Fuel,M,24565
695,"Ahmedabad, India",22-Nov-13,Gold,Grocery,F,14205
696,"Greater Mumbai, India",17-Feb-14,Platinum,Entertainment,F,141251
697,"Delhi, India",11-Apr-15,Gold,Grocery,M,170469
698,"Ahmedabad, India",01-May-15,Gold,Food,M,9087
699,"Greater Mumbai, India",31-Aug-14,Silver,Bills,F,41578
700,"Ahmedabad, India",27-Nov-13,Platinum,Bills,M,98404
701,"Delhi, India",12-Nov-14,Gold,Fuel,M,114361
702,"Delhi, India",06-Jan-15,Signature,Entertainment,M,241498
703,"Delhi, India",08-Dec-14,Silver,Food,F,53005
704,"Greater Mumbai, India",19-Dec-13,Gold,Bills,F,44121
705,"Greater Mumbai, India",03-Apr-14,Signature,Fuel,M,32203
706,"Ahmedabad, India",15-Aug-14,Signature,Entertainment,F,196514
707,"Greater Mumbai, India",21-Jun-14,Signature,Bills,F,192395
708,"Delhi, India",19-Jan-15,Silver,Entertainment,M,131409
709,"Greater Mumbai, India",01-Sep-14,Silver,Fuel,M,184484
710,"Greater Mumbai, India",01-Oct-14,Gold,Fuel,F,41107
711,"Delhi, India",16-Feb-15,Gold,Bills,M,48145
712,"Bengaluru, India",29-Mar-15,Platinum,Bills,M,147937
713,"Delhi, India",13-May-15,Silver,Food,M,157207
714,"Delhi, India",20-Apr-15,Signature,Food,M,239931
715,"Greater Mumbai, India",02-Mar-14,Platinum,Fuel,F,230426
716,"Ahmedabad, India",16-Aug-14,Gold,Food,F,133648
717,"Ahmedabad, India",24-Feb-14,Silver,Fuel,M,125673
718,"Bengaluru, India",28-Nov-14,Platinum,Bills,F,143800
719,"Bengaluru, India",26-Dec-13,Gold,Bills,F,44998
720,"Ahmedabad, India",06-Jan-15,Silver,Bills,M,88762
721,"Delhi, India",06-Apr-14,Platinum,Fuel,M,181268
722,"Ahmedabad, India",20-May-14,Signature,Entertainment,M,80907
723,"Bengaluru, India",23-Dec-13,Signature,Bills,M,224676
724,"Delhi, India",25-Oct-14,Gold,Food,M,26176
725,"Bengaluru, India",09-Jan-14,Platinum,Food,F,39124
726,"Greater Mumbai, India",14-Jun-14,Platinum,Fuel,F,37510
727,"Greater Mumbai, India",22-Jul-14,Signature,Bills,F,247001
728,"Delhi, India",10-Dec-14,Silver,Grocery,F,167672
729,"Ahmedabad, India",22-Oct-14,Signature,Grocery,F,152551
730,"Bengaluru, India",10-Jan-15,Signature,Food,F,40295
731,"Bengaluru, India",16-Mar-14,Platinum,Food,F,88471
732,"Bengaluru, India",07-Jan-15,Gold,Grocery,F,297063
733,"Ahmedabad, India",16-Sep-14,Platinum,Bills,F,12125
734,"Bengaluru, India",04-Jan-14,Signature,Fuel,M,130942
735,"Delhi, India",12-Sep-14,Signature,Entertainment,M,191863
736,"Greater Mumbai, India",11-Mar-15,Silver,Grocery,M,143893
737,"Ahmedabad, India",05-Sep-14,Gold,Grocery,M,220653
738,"Ahmedabad, India",10-Dec-13,Platinum,Food,F,102005
739,"Greater Mumbai, India",11-Mar-15,Silver,Grocery,F,217325
740,"Ahmedabad, India",08-Jun-14,Gold,Bills,M,72226
741,"Bengaluru, India",17-Mar-14,Signature,Fuel,F,37489
742,"Ahmedabad, India",12-Oct-14,Silver,Grocery,F,273138
743,"Bengaluru, India",28-Aug-14,Gold,Entertainment,M,190335
744,"Greater Mumbai, India",07-Dec-14,Signature,Food,F,108907
745,"Bengaluru, India",09-Feb-14,Platinum,Fuel,F,213169
746,"Delhi, India",15-Jun-14,Silver,Fuel,M,50610
747,"Bengaluru, India",30-Apr-15,Silver,Food,M,51055
748,"Ahmedabad, India",19-Jul-14,Gold,Fuel,M,166212
749,"Delhi, India",14-Mar-14,Platinum,Fuel,M,188951
750,"Ahmedabad, India",23-Jul-14,Silver,Fuel,M,197977
751,"Ahmedabad, India",24-Oct-14,Platinum,Grocery,M,173957
752,"Delhi, India",28-Mar-15,Signature,Fuel,M,150801
753,"Delhi, India",20-Sep-14,Signature,Grocery,F,207165
754,"Bengaluru, India",01-Mar-15,Signature,Bills,M,115946
755,"Bengaluru, India",02-May-14,Signature,Fuel,M,281939
756,"Delhi, India",23-Feb-15,Platinum,Bills,F,164903
757,"Delhi, India",19-Feb-15,Silver,Bills,F,241481
758,"Greater Mumbai, India",24-Jan-15,Platinum,Food,M,203926
759,"Ahmedabad, India",08-Aug-14,Signature,Grocery,F,239328
760,"Delhi, India",24-Dec-14,Signature,Bills,F,169384
761,"Greater Mumbai, India",24-Nov-14,Silver,Grocery,M,108321
762,"Delhi, India",27-Jun-14,Silver,Grocery,M,186117
763,"Bengaluru, India",31-Jan-15,Platinum,Bills,F,168268
764,"Ahmedabad, India",13-Jan-14,Gold,Fuel,M,61529
765,"Greater Mumbai, India",18-Nov-13,Signature,Grocery,M,6593
766,"Delhi, India",02-Feb-14,Signature,Fuel,F,247327
767,"Bengaluru, India",07-Apr-14,Silver,Food,M,249391
768,"Greater Mumbai, India",07-Jan-15,Signature,Fuel,M,163813
769,"Delhi, India",13-Jun-14,Gold,Grocery,M,142667
770,"Bengaluru, India",02-Dec-13,Platinum,Fuel,M,129549
771,"Delhi, India",07-Dec-13,Platinum,Food,F,274786
772,"Greater Mumbai, India",23-Mar-15,Signature,Entertainment,F,172444
773,"Ahmedabad, India",17-Apr-14,Gold,Food,M,53934
774,"Bengaluru, India",06-Sep-14,Signature,Grocery,F,260751
775,"Ahmedabad, India",18-Aug-14,Silver,Fuel,F,133027
776,"Bengaluru, India",09-Jan-15,Platinum,Bills,F,184915
777,"Delhi, India",04-Jan-15,Signature,Grocery,M,234569
778,"Greater Mumbai, India",25-Mar-15,Signature,Bills,F,157971
779,"Bengaluru, India",06-Nov-13,Silver,Fuel,F,280870
780,"Delhi, India",03-Apr-14,Silver,Bills,F,176785
781,"Bengaluru, India",10-May-14,Gold,Fuel,M,76781
782,"Bengaluru, India",02-Apr-14,Signature,Entertainment,M,280054
783,"Bengaluru, India",22-Mar-14,Silver,Food,F,27234
784,"Ahmedabad, India",27-Feb-14,Signature,Grocery,F,11078
785,"Greater Mumbai, India",20-Aug-14,Gold,Fuel,M,36127
786,"Greater Mumbai, India",04-Oct-14,Signature,Food,M,223623
787,"Greater Mumbai, India",09-Jan-14,Signature,Grocery,F,26890
788,"Greater Mumbai, India",03-Jan-14,Gold,Grocery,M,105181
789,"Bengaluru, India",21-Dec-13,Signature,Grocery,M,42867
790,"Bengaluru, India",30-Nov-14,Gold,Grocery,F,151535
791,"Greater Mumbai, India",09-Oct-13,Platinum,Fuel,F,278582
792,"Ahmedabad, India",22-May-15,Platinum,Fuel,M,133372
793,"Delhi, India",06-May-14,Signature,Grocery,M,57585
794,"Greater Mumbai, India",14-Jun-14,Gold,Bills,F,156138
795,"Delhi, India",02-Dec-13,Silver,Bills,M,75764
796,"Greater Mumbai, India",16-Oct-14,Silver,Fuel,F,28176
797,"Greater Mumbai, India",03-Feb-14,Platinum,Entertainment,M,217322
798,"Delhi, India",09-Jan-14,Silver,Food,F,95261
799,"Ahmedabad, India",03-Dec-14,Gold,Bills,F,222804
800,"Delhi, India",20-Aug-14,Silver,Food,M,154942
801,"Ahmedabad, India",11-Aug-14,Platinum,Grocery,M,185278
802,"Delhi, India",10-Oct-13,Platinum,Entertainment,M,259740
803,"Delhi, India",24-Sep-14,Signature,Bills,M,32612
804,"Ahmedabad, India",14-Mar-15,Silver,Entertainment,M,223319
805,"Bengaluru, India",29-May-14,Signature,Bills,M,239241
806,"Delhi, India",13-Apr-15,Silver,Entertainment,M,133201
807,"Delhi, India",08-Jan-15,Silver,Bills,M,270969
808,"Delhi, India",31-Aug-14,Signature,Grocery,M,171879
809,"Bengaluru, India",21-Nov-13,Signature,Bills,F,71967
810,"Bengaluru, India",13-Oct-14,Gold,Bills,F,86680
811,"Delhi, India",10-Dec-13,Silver,Grocery,M,139475
812,"Bengaluru, India",29-Oct-14,Gold,Grocery,F,61654
813,"Delhi, India",11-Sep-14,Silver,Grocery,F,29685
814,"Delhi, India",10-Nov-13,Platinum,Entertainment,F,51185
815,"Greater Mumbai, India",28-Mar-14,Silver,Fuel,M,42681
816,"Bengaluru, India",27-Oct-14,Signature,Entertainment,F,126112
817,"Delhi, India",04-Apr-15,Gold,Bills,M,140317
818,"Bengaluru, India",29-Oct-14,Platinum,Fuel,F,92115
819,"Delhi, India",02-Feb-14,Silver,Food,M,17683
820,"Bengaluru, India",22-Feb-15,Silver,Food,F,29142
821,"Bengaluru, India",24-Jan-15,Silver,Food,F,290383
822,"Delhi, India",09-Oct-13,Gold,Fuel,F,299642
823,"Ahmedabad, India",20-Oct-13,Signature,Bills,F,99631
824,"Delhi, India",17-Jan-15,Gold,Entertainment,M,125123
825,"Ahmedabad, India",19-Jul-14,Gold,Food,F,187763
826,"Greater Mumbai, India",28-Dec-13,Gold,Bills,M,248970
827,"Bengaluru, India",11-Feb-15,Platinum,Bills,M,34867
